Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
1,Washington,82,3798.3,208,132,3.2857,2.0851,61.1765,2010,1883,10.3483,92.9899,103.338,3880,3455,61.2906,54.577,52.8971,101.54,30.5594,28.6112,40.8294,0,200910
2,Vancouver,82,3670.65,167,134,2.7298,2.1903,55.4817,1827,1763,9.1407,92.3993,101.54,3352,3134,54.7914,51.228,51.6805,100.706,30.5163,31.2846,38.1991,0,200910
3,Chicago,82,3881.266667,178,146,2.7517,2.257,54.9383,2143,1552,8.3061,90.5928,98.8989,3782,2906,58.4655,44.9235,56.549,99.6824,34.1411,26.9018,38.9571,1,200910
4,San Jose,82,3739.5,161,134,2.5832,2.15,54.5763,1881,1881,8.5593,92.8761,101.435,3546,3372,56.8953,54.1035,51.2576,100.566,29.9396,30.9063,39.1541,0,200910
5,Arizona,81,3650.416667,142,122,2.334,2.0053,53.7879,1846,1707,7.6923,92.853,100.545,3376,3112,55.4896,51.1503,52.0345,100.286,32.5177,28.9118,38.5705,0,200910
6,New Jersey,81,3888.633333,141,127,2.1756,1.9596,52.6119,1847,1740,7.634,92.7011,100.335,3212,3105,49.5598,47.9089,50.8469,100.3,31.8724,26.9739,41.1537,0,200910
7,Pittsburgh,82,3688.35,169,157,2.7492,2.554,51.8405,1969,1721,8.583,90.8774,99.4604,3611,3320,58.7417,54.0079,52.0993,99.9512,31.7757,27.0425,41.1818,0,200910
8,Buffalo,82,3744.75,150,143,2.4034,2.2912,51.1945,1951,1913,7.6884,92.5248,100.213,3409,3367,54.6205,53.9475,50.3099,100.153,31.5373,29.4977,38.965,0,200910
9,Los Angeles,82,3760.066667,138,132,2.2021,2.1063,51.1111,1748,1643,7.8947,91.9659,99.8607,3234,3142,51.6055,50.1374,50.7215,100.066,32.1576,29.3613,38.4811,0,200910
10,NY Rangers,82,3749.566667,143,137,2.2883,2.1923,51.0714,1816,1842,7.8744,92.5624,100.437,3424,3462,54.7903,55.3984,49.7241,100.219,30.4067,30.5607,39.0327,0,200910
11,Colorado,82,3803.216667,152,146,2.398,2.3033,51.0067,1720,1978,8.8372,92.6188,101.456,2976,3671,46.9497,57.9141,44.7721,101.13,28.5184,30.5599,40.9217,0,200910
12,Nashville,82,3905.333333,146,141,2.2431,2.1663,50.8711,1923,1855,7.5923,92.3989,99.9912,3553,3347,54.5869,51.422,51.4928,99.8965,28.735,33.486,37.779,0,200910
13,Anaheim,82,3746.4,146,144,2.3382,2.3062,50.3448,1773,1984,8.2346,92.7419,100.977,3140,3492,50.2883,55.9257,47.3462,100.526,30.3701,29.5476,40.0823,0,200910
14,St. Louis,82,3664.083333,142,142,2.3253,2.3253,50,1789,1761,7.9374,91.9364,99.8738,3286,3175,53.8088,51.9912,50.859,99.8489,31.1406,31.7743,37.0851,0,200910
15,Philadelphia,82,3654,139,141,2.2824,2.3153,49.6429,1875,1773,7.4133,92.0474,99.4607,3476,3352,57.0772,55.041,50.908,99.7924,29.8392,30.2561,39.9047,-1,200910
16,Calgary,82,3811,132,135,2.0782,2.1254,49.4382,1793,1765,7.362,92.3513,99.7132,3511,3259,55.2768,51.3094,51.8612,99.6172,31.9754,29.3962,38.6284,0,200910
17,Dallas,82,3764.7,145,151,2.3109,2.4066,48.9865,1802,1893,8.0466,92.0232,100.07,3275,3543,52.1954,56.4667,48.0346,100.166,30.6225,30.122,39.2556,0,200910
18,Winnipeg,82,3702.9,161,168,2.6088,2.7222,48.9362,1792,1992,8.9844,91.5663,100.551,3245,3433,52.5804,55.6267,48.5924,100.068,27.4383,34.3419,38.2197,0,200910
