Rank,Team,GP,TOI,GF,GA,GF60,GA60,GF%,SF,SA,Sh%,Sv%,PDO,CF,CA,CF60,CA60,CF%,CPDO,OZFO%,DZFO%,NZFO%,Cup,Year
1,Boston,82,3993.083333,175,110,2.6295,1.6529,61.4035,2071,1847,8.45,94.0444,102.494,3878,3320,58.2708,49.8863,53.8761,101.199,34.6992,29.2272,36.0737,0,201314
2,Anaheim,82,3822.65,187,133,2.9351,2.0876,58.4375,1902,1799,9.8318,92.607,102.439,3499,3525,54.92,55.3281,49.8149,101.571,32.7648,31.6955,35.5397,0,201314
3,Los Angeles,82,3810.05,129,103,2.0315,1.622,55.6034,1982,1589,6.5086,93.5179,100.026,3888,2957,61.2275,46.5663,56.8006,99.8346,35.4279,29.1442,35.4279,1,201314
4,Chicago,82,3980.483333,182,148,2.7434,2.2309,55.1515,2159,1729,8.4298,91.4401,99.87,3892,3124,58.6662,47.0898,55.4732,99.9387,34.3925,27.8505,37.757,0,201314
5,St. Louis,82,3836.633333,156,127,2.4396,1.9861,55.1237,1846,1638,8.4507,92.2466,100.697,3547,3128,55.4705,48.9179,53.1386,100.338,33.425,30.1264,36.4486,0,201314
6,Tampa Bay,82,3882.45,151,128,2.3336,1.9781,54.1219,1931,1793,7.8198,92.8611,100.681,3553,3416,54.9086,52.7914,50.9829,100.503,32.7591,30.1066,37.1343,0,201314
7,San Jose,82,3939.566667,161,138,2.452,2.1018,53.8462,2140,1784,7.5234,92.2646,99.7879,4089,3524,62.2759,53.6709,53.7108,100.021,31.5212,31.9701,36.5087,0,201314
8,Colorado,82,3940.433333,164,142,2.4972,2.1622,53.5948,1871,2049,8.7654,93.0698,101.835,3407,3847,51.8775,58.5773,46.9672,101.122,32.2192,32.754,35.0267,0,201314
9,Minnesota,82,3923.183333,130,116,1.9882,1.7741,52.8455,1675,1722,7.7612,93.2636,101.025,3154,3335,48.2363,51.0045,48.6053,100.644,31.6367,32.1147,36.2486,0,201314
10,NY Rangers,82,3904.2,140,129,2.1515,1.9825,52.0446,2103,1865,6.6572,93.0831,99.7403,3815,3460,58.6292,53.1735,52.4399,99.9414,33.3784,30.5676,36.0541,-1,201314
11,Columbus,82,3838.216667,147,136,2.2979,2.126,51.9435,1836,1883,8.0065,92.7775,100.784,3348,3360,52.3368,52.5244,49.9106,100.343,30.3933,32.6404,36.9663,0,201314
12,Dallas,82,3864,158,149,2.4534,2.3137,51.4658,1934,1873,8.1696,92.0448,100.214,3703,3631,57.5,56.382,50.4909,100.163,32.1457,30.5999,37.2544,0,201314
13,Pittsburgh,82,3906.916667,152,145,2.3343,2.2268,51.1785,1841,1781,8.2564,91.8585,100.115,3332,3515,51.1708,53.9812,48.6636,100.437,29.6954,30.4569,39.8477,0,201314
14,Arizona,82,3879.2,137,133,2.119,2.0571,50.7407,1890,1905,7.2487,93.0184,100.267,3585,3507,55.4496,54.2431,50.5499,100.029,32.0786,30.06,37.8614,0,201314
